"filename", "language", "Java", "Markdown", "YAML", "Docker", "JavaScript", "CSS", "Gradle", "Java Properties", "JSON", "HTML", "comment", "blank", "total"
"/Users/victorsannicolo/WebbI - Vote App/web-voting/firebase.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 10, 0, 17
"/Users/victorsannicolo/WebbI - Vote App/web-voting/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 30041, 0, 0, 1, 30042
"/Users/victorsannicolo/WebbI - Vote App/web-voting/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 1, 50
"/Users/victorsannicolo/WebbI - Vote App/web-voting/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 2, 45
"/Users/victorsannicolo/WebbI - Vote App/web-voting/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/AdminLogin.css", "CSS", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 7, 36
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/AdminLogin.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 7, 53
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/AdminPanel.css", "CSS", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 14, 12, 97
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/AdminPanel.js", "JavaScript", 0, 0, 0, 0, 652, 0, 0, 0, 0, 0, 102, 61, 815
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/ElectionTable.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/ElectionTable.js", "JavaScript", 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 4, 24, 315
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/FileUploadComponent.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/Menu.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 12, 3, 23
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/Menu.js", "JavaScript", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 8, 110
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/App.test.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Client/Placeholder.css", "CSS", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Client/Placeholder.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Client/VoteClient.css", "CSS", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 11, 80
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Client/VoteClient.js", "JavaScript", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 4, 12, 137
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Client/Voting.css", "CSS", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 12, 95
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Client/Voting.js", "JavaScript", 0, 0, 0, 0, 286, 0, 0, 0, 0, 0, 2, 17, 305
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Footer.css", "CSS", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 5, 35
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Footer.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/index.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 19, 2, 38
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 1718, 84, 11, 5, 1565, 345, 30, 1, 30122, 99, 806, 522, 35308
