"filename", "language", "JavaScript", "Java", "comment", "blank", "total"
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/Election.class", "Java", 0, 8, 0, 0, 8
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/Main.class", "Java", 0, 0, 3, 0, 3
"/Users/victorsannicolo/WebbI - Vote App/voting-server/bin/main/service/Service.class", "Java", 0, 2, 0, 0, 2
"/Users/victorsannicolo/WebbI - Vote App/voting-server/src/main/java/service/Election.java", "Java", 0, 8, 0, 4, 12
"/Users/victorsannicolo/WebbI - Vote App/voting-server/src/main/java/service/Main.java", "Java", 0, 0, -1, 0, -1
"/Users/victorsannicolo/WebbI - Vote App/voting-server/src/main/java/service/Service.java", "Java", 0, 4, 0, 0, 4
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Admin/AdminPanel.js", "JavaScript", 4, 0, 0, 0, 4
"/Users/victorsannicolo/WebbI - Vote App/web-voting/src/Client/VoteClient.js", "JavaScript", 21, 0, 1, 1, 23
"Total", "-", 25, 22, 3, 5, 55
